Time [s], Analyzer Name, Decoded Protocol Result
7.259559250000000,Simple Parallel,'1'
7.260077000000000,Simple Parallel,'0'
7.260594750000000,Simple Parallel,'0'
7.261112250000000,Simple Parallel,'1'
7.261630375000000,Simple Parallel,'0'
7.262147625000000,Simple Parallel,'0'
7.262665375000000,Simple Parallel,'1'
7.263183000000000,Simple Parallel,'1'
7.263700625000000,Simple Parallel,'0'
7.264218250000000,Simple Parallel,'0'
7.264736000000000,Simple Parallel,'1'
7.265253750000000,Simple Parallel,'0'
7.265771875000000,Simple Parallel,'1'
7.266289125000000,Simple Parallel,'0'
7.266814875000000,Simple Parallel,'0'
7.267324500000000,Simple Parallel,'0'
7.267842125000000,Simple Parallel,'0'
7.268359875000000,Simple Parallel,'1'
7.268877500000000,Simple Parallel,'1'
7.269395250000000,Simple Parallel,'0'
7.269913375000000,Simple Parallel,'1'
7.345047375000000,Simple Parallel,'0'
7.345565125000000,Simple Parallel,'1'
7.346083000000000,Simple Parallel,'0'
7.346600625000000,Simple Parallel,'0'
7.347118250000000,Simple Parallel,'0'
7.347636000000000,Simple Parallel,'0'
7.348153750000000,Simple Parallel,'1'
7.348671875000000,Simple Parallel,'0'
7.349189125000000,Simple Parallel,'0'
7.349706750000000,Simple Parallel,'0'
7.350224500000000,Simple Parallel,'0'
7.350742250000000,Simple Parallel,'1'
7.351259875000000,Simple Parallel,'0'
7.351777500000000,Simple Parallel,'0'
7.352295250000000,Simple Parallel,'1'
7.352813375000000,Simple Parallel,'0'
7.353330625000000,Simple Parallel,'1'
7.353848250000000,Simple Parallel,'1'
7.354365875000000,Simple Parallel,'0'
7.354883500000000,Simple Parallel,'0'
7.355401375000000,Simple Parallel,'0'
7.355918875000000,Simple Parallel,'0'
7.356436625000000,Simple Parallel,'0'
7.356954625000000,Simple Parallel,'1'
7.357471875000000,Simple Parallel,'0'
7.357989625000000,Simple Parallel,'0'
7.358507375000000,Simple Parallel,'0'
7.359025000000000,Simple Parallel,'1'
7.359542625000000,Simple Parallel,'0'
7.360060375000000,Simple Parallel,'1'
7.360578000000000,Simple Parallel,'0'
7.361096125000000,Simple Parallel,'1'
7.361613375000000,Simple Parallel,'0'
7.362137000000000,Simple Parallel,'0'
7.362648750000000,Simple Parallel,'0'
7.363166375000000,Simple Parallel,'0'
7.363684125000000,Simple Parallel,'1'
7.364201875000000,Simple Parallel,'1'
7.364719500000000,Simple Parallel,'0'
7.365237750000000,Simple Parallel,'1'
7.444339125000000,Simple Parallel,'0'
7.444856750000000,Simple Parallel,'1'
7.445374375000000,Simple Parallel,'0'
7.445892000000000,Simple Parallel,'0'
7.446409625000000,Simple Parallel,'0'
7.446927250000000,Simple Parallel,'0'
7.447445000000000,Simple Parallel,'0'
7.447963125000000,Simple Parallel,'1'
